battery_pack,brand,compatible_inverters_count
Audi e-tron GT 93 kWh,Audi,54
BMW PHEV (330e/530e etc) (12/24 kWh),BMW,54
BMW i3 (all sizes) (18/22/40 kWh),BMW,54
BMW iX & i4-7 Platform (68/80.7 kWh),BMW,54
BYD Atto 3 / Yuan Plus (50/60 kWh),BYD,54
BYD Dolphin mini / BYD E3 (38 kWh),BYD,55
BYD Seal (60 kWh),BYD,54
BYD Seal U (71.80 kWh),BYD,52
BYD Song Plus (82.56 kWh / 512V),BYD,52
Chevrolet Bolt (60/66 kWh),Chevrolet,54
Citroen Basalt (2024-) (Stellantis CMP Smart Car),Citroen,54
Citroen C-Zero (16 kWh),Citroen,54
Citroen C3 Aircross (2024-) Europe (Stellantis CMP Smart Car),Citroen,54
Citroen C3 Aircross CC24 (2023-) Asia/LatAm (Stellantis CMP Smart Car),Citroen,54
Citroen C3 CC21 (2022-) Asia/LatAm (Stellantis CMP Smart Car),Citroen,54
Citroen Spacetourer EV (50 kWh) (Stellantis e-CMP),Citroen,2
Citroen e-SpaceTourer / e-Jumpy (50/75 kWh) (Stellantis e-CMP),Citroen,52
Citroen ë-C3 / C3 IV (2024-) (Stellantis CMP Smart Car),Citroen,54
Citroen ë-C4 (2020-) (Stellantis e-CMP),Citroen,54
DIY HV Orion BMS,DIY,54
DIY HV RJXZS BMS,DIY,54
DIY HV Simp BMS,DIY,54
DIY LV FoxESS HV2600 batteries,DIY,54
DIY LV Pylon HV batteries,DIY,54
Dacia Spring (27 kWh),Dacia,54
Fiat Fastback EV (2026-) (Stellantis CMP Smart Car),Fiat,54
Fiat Grande Panda (2025-) (Stellantis CMP Smart Car),Fiat,54
Fiat Multipla EV (2025-) (Stellantis CMP Smart Car),Fiat,54
Fiat pickup EV (2025-) (Stellantis CMP Smart Car),Fiat,54
Ford E-Transit (66/77 kWh),Ford,54
Ford Mustang Mach-E (68/88/98 kWh),Ford,54
Hyundai E‑GMP platform (58.2/72.6/77.4 kWh),Hyundai,52
Hyundai Kona 39/64kWh (39/64 kWh),Hyundai,54
Hyundai Kona Hybrid (2 kWh),Hyundai,54
Hyundai Santa Fe PHEV (14 kWh),Hyundai,54
Jaguar I-PACE (90 kWh),Jaguar,54
Kia EV6,Kia,52
Kia Niro Hybrid (2/9 kWh),Kia,54
Kia e-Niro 39/64kWh (39/64 kWh),Kia,54
MG HS PHEV (16 kWh),MG,54
MG MG ZS EV (44/72 kWh),MG,52
MG MG4 EH32 (51/64/77 kWh),MG,54
MG MG5 / MG Marvel R (50/61 kWh),MG,54
MG MG5 / MG Marvel R (52.5/61/69.9 kWh),MG,52
MG ZS EV (44/72 kWh),MG,2
Mini Cooper electric (32 kWh),Mini,54
Mitsubishi i-Miev (16 kWh),Mitsubishi,54
Nissan Ariya (65/87 kWh),Nissan,54
Nissan LEAF (24/30/40/62 kWh),Nissan,54
Nissan Sakura (20 kWh),Nissan,54
Nissan e-NV200 (24/40 kWh),Nissan,54
Opel Ampera-e (60/66 kWh),Opel,54
Opel Frontera EV (2024-) (Stellantis CMP Smart Car),Opel,54
Opel/Vauxhall Corsa-e/Mokka-e (2019-) (Stellantis e-CMP),Opel/Vauxhall,54
Peugeot Ion (16 kWh),Peugeot,54
Peugeot e-208/e-2008 (2020-) (Stellantis e-CMP),Peugeot,54
Polestar 2 (78 kWh),Polestar,54
Porsche Taycan 93 kWh,Porsche,54
Renault Fluence ZE (22/36 kWh),Renault,54
Renault Kangoo (22/33 kWh),Renault,55
Renault K‑ZE (27 kWh),Renault,54
Renault Twizy (6.1 kWh),Renault,54
Renault Zoe Gen1 (22/41 kWh),Renault,54
Renault Zoe Gen2 (52 kWh),Renault,54
Rivian R1T (135 kWh),Rivian,54
Tesla Model 3 & Y (all sizes) (All),Tesla,55
Tesla Model S & X (2012-2020) (60-100 kWh),Tesla,95
Tesla Model S & X (2021+) (100+ kWh),Tesla,55
Toyota Proace EV (2020-) (Stellantis e-CMP),Toyota,2
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Toyota,52
Volkswagen MEB Platform (48/55/61/82 kWh),Volkswagen,54
Volvo EX30 (49/69 kWh),Volvo,54
Volvo XC40/C40 (69/78/82 kWh),Volvo,54
